Instancename,Id,State,Platform,InstanceType,Launchedtime,Region,Uptime,Instancebuilder
abc-01,i-0ebb4d2be55eddd06,stopped,windows,m5.large,2019-10-29 21:00:28+00:00,us-west-2, ,abc@abc.com
abc-02,i-0ff3bd94f3a17fd53,stopped,Unix/Linux,m5.2xlarge,2019-10-29 21:44:46+00:00,us-west-2, ,abc@abc.com
abc-03,i-01e487e2278810881,stopped,windows,m5.large,2019-10-30 19:02:09+00:00,us-west-2, ,abc@abc.com
abc-04,i-0523c7c05f186c7b5,running,Unix/Linux,t3a.medium,2020-08-26 17:13:15+00:00,us-west-2,"116 days, 7:52:02.698333",abc@abc.com
abc-05,i-0d45e076d10bcd70e,running,windows,t3a.medium,2020-12-09 13:21:33+00:00,us-west-2,"11 days, 11:43:44.698354",abc@abc.com
abc-06,i-039a84ebf3eca8393,running,Unix/Linux,t3.micro,2019-11-12 23:18:06+00:00,us-west-2,"404 days, 1:47:11.698375",abc@abc.com
abc-07,i-0616a0550e403572b,running,Unix/Linux,m5.large,2020-09-18 07:04:19+00:00,us-west-2,"93 days, 18:00:58.698403",abc@abc.com
abc-08,i-06566f4e778fb92b3,stopped,windows,t3a.medium,2019-12-20 15:08:29+00:00,us-west-2, ,abc@abc.com
abc-09,i-0807300ccd6f7079c,running,Unix/Linux,t3a.medium,2019-11-13 17:27:42+00:00,us-west-2,"403 days, 7:37:35.698442",abc@abc.com
abc-10,i-0a35f7e802cdc3a55,stopped,Unix/Linux,t3.micro,2019-12-17 20:36:32+00:00,us-west-2, ,abc@abc.com
abc-11,i-0ba8f87f58740f8fa,stopped,Unix/Linux,t3.medium,2019-12-17 21:01:54+00:00,us-west-2, ,abc@abc.com
abc-12,i-0ff2b9010310a13bd,stopped,windows,t3.large,2019-12-17 21:01:37+00:00,us-west-2, ,abc@abc.com
abc-13,i-0c1fd67de099f86a6,running,Unix/Linux,t3a.nano,2019-12-30 18:54:02+00:00,us-west-2,"356 days, 6:11:15.698546",abc@abc.com
abc-14,i-0067e53274a0705db,running,Unix/Linux,t3.micro,2019-12-30 20:01:46+00:00,us-west-2,"356 days, 5:03:31.698564",abc@abc.com
abc-15,i-091d0941371b90277,running,Unix/Linux,t3.medium,2019-12-30 20:15:06+00:00,us-west-2,"356 days, 4:50:11.698583",abc@abc.com
abc-16,i-02a86291b0813a290,running,windows,m4.large,2019-12-30 20:14:56+00:00,us-west-2,"356 days, 4:50:21.698603",abc@abc.com
abc-17,i-0c836c59469426f77,running,Unix/Linux,t3a.medium,2020-11-30 18:03:41+00:00,us-west-2,"20 days, 7:01:36.698631",abc@abc.com
abc-18,i-0be621fa34f1c12d8,running,windows,t3a.medium,2020-11-30 18:03:18+00:00,us-west-2,"20 days, 7:01:59.698652",abc@abc.com
abc-19,i-0b71411259118d96c,stopped,Unix/Linux,t3.micro,2020-02-27 06:03:22+00:00,us-west-2, ,abc@abc.com
abc-20,i-01fe87790384d4998,stopped,windows,m4.large,2020-03-04 11:50:19+00:00,us-west-2, ,abc@abc.com
abc-21,i-0fc142381fd853075,stopped,Unix/Linux,t2.medium,2020-02-24 10:11:54+00:00,us-west-2, ,abc@abc.com
abc-22,i-0281722f09aa8f0a8,stopped,Unix/Linux,t2.medium,2020-03-04 11:50:19+00:00,us-west-2, ,abc@abc.com
abc-23,i-05adea1f8ddc9da21,running,Unix/Linux,t3.micro,2020-05-12 04:42:38+00:00,us-west-2,"222 days, 20:22:39.698760",abc@abc.com
abc-24,i-09728f8fb50c0b4db,running,Unix/Linux,t3a.medium,2020-11-05 06:12:37+00:00,us-west-2,"45 days, 18:52:40.698779",abc@abc.com
abc-25,i-040f8f21f44060bcb,running,windows,m5.large,2020-12-07 15:37:32+00:00,us-west-2,"13 days, 9:27:45.698800",abc@abc.com
abc-26,i-098291ba0f7e28492,stopped,Unix/Linux,t3.micro,2020-03-17 14:41:28+00:00,us-west-2, ,abc@abc.com
abc-27,i-0c893b54b9c3acc88,stopped,Unix/Linux,t3a.medium,2020-03-17 14:57:44+00:00,us-west-2, ,abc@abc.com
