DB_identifier,Size,Status,Region,Multi-AZ,StorageType,Storage(GiB)
postgresql-db-01,db.t2.medium,available,us-west-2,FALSE,standard,10
postgresql-db-02,db.t2.small,available,us-west-2,FALSE,standard,100
postgresql-db-03,db.t2.small,available,us-west-2,FALSE,standard,10
postgresql-db-04,db.m5.large,available,us-west-2,FALSE,io1,300
postgresql-db-05,db.t2.micro,available,us-west-2,FALSE,standard,20
postgresql-db-06,db.t2.micro,available,us-west-2,FALSE,standard,20
postgresql-db-07,db.t2.micro,available,us-west-2,FALSE,standard,20
postgresql-db-08,db.t2.micro,available,us-west-2,FALSE,standard,20
postgresql-db-09,db.t2.micro,available,us-west-2,FALSE,standard,20
postgresql-db-10,db.t2.micro,available,us-west-2,FALSE,standard,20
postgresql-db-11,db.t2.micro,available,us-west-2,FALSE,standard,20
postgresql-db-12,db.t2.micro,available,us-west-2,FALSE,standard,20
postgresql-db-13,db.t2.micro,available,us-west-2,FALSE,standard,20
postgresql-db-14,db.t2.micro,available,us-west-2,FALSE,standard,20
postgresql-db-15,db.t2.micro,available,us-west-2,FALSE,standard,20
postgresql-db-16,db.t2.micro,available,us-west-2,FALSE,standard,20
postgresql-db-17,db.t2.micro,available,us-west-2,FALSE,standard,20
postgresql-db-18,db.t2.micro,available,us-west-2,FALSE,standard,20
postgresql-db-19,db.t2.micro,available,us-west-2,FALSE,standard,20
postgresql-db-20,db.t2.micro,available,us-west-2,FALSE,standard,20
postgresql-db-21,db.t2.medium,available,us-west-2,FALSE,standard,200
postgresql-db-22,db.t2.micro,available,us-west-2,FALSE,standard,20
postgresql-db-23,db.t2.small,available,us-west-2,FALSE,io1,100
postgresql-db-24,db.t2.medium,available,us-west-2,FALSE,gp2,100
postgresql-db-25,db.t3.medium,available,us-west-2,FALSE,gp2,256
postgresql-db-26,db.t2.medium,available,us-west-2,TRUE,standard,100
postgresql-db-27,db.t2.medium,available,us-west-2,FALSE,standard,100
postgresql-db-28,db.t2.medium,available,us-west-2,FALSE,standard,10
postgresql-db-29,db.t2.medium,available,us-west-2,FALSE,standard,10
postgresql-db-30,db.t2.micro,available,us-west-2,FALSE,standard,50
postgresql-db-31,db.t2.medium,available,us-west-2,FALSE,standard,10
postgresql-db-32,db.t2.medium,available,us-west-2,FALSE,io1,100
postgresql-db-33,db.t2.small,available,us-west-2,FALSE,standard,100
postgresql-db-34,db.t2.medium,available,us-west-2,FALSE,gp2,100
postgresql-db-35,db.t3.medium,available,us-west-2,FALSE,gp2,20
postgresql-db-36,db.t2.medium,available,us-west-2,FALSE,standard,10
postgresql-db-37,db.t2.medium,available,us-west-2,FALSE,standard,100
postgresql-db-38,db.t2.small,available,us-west-2,FALSE,io1,100
postgresql-db-39,db.t2.small,available,us-west-2,FALSE,standard,10
postgresql-db-40,db.t2.medium,available,us-west-2,FALSE,standard,10
postgresql-db-41,db.t2.small,available,us-west-2,FALSE,standard,10
postgresql-db-42,db.m4.xlarge,available,us-west-2,FALSE,io1,100
postgresql-db-43,db.t2.medium,available,us-west-2,FALSE,gp2,100
postgresql-db-44,db.t2.medium,available,us-west-2,FALSE,io1,100
postgresql-db-45,db.t2.medium,available,us-west-2,FALSE,io1,100
postgresql-db-46,db.t2.medium,available,us-west-2,FALSE,standard,10
postgresql-db-47,db.t2.medium,available,us-west-2,FALSE,standard,10
postgresql-db-48,db.t2.medium,available,us-west-2,FALSE,standard,10
postgresql-db-49,db.t2.medium,available,us-west-2,FALSE,standard,10
postgresql-db-50,db.t3.medium,available,us-west-2,FALSE,gp2,30
postgresql-db-51,db.t3.medium,available,us-west-2,FALSE,gp2,30
